"DateTime";"Количество"
2021-11-20 00:00:00;869
2021-11-21 00:00:00;661
2021-11-22 00:00:00;945
2021-11-23 00:00:00;1271
2021-11-24 00:00:00;1687
2021-11-25 00:00:00;1133
2021-11-26 00:00:00;1171
2021-11-27 00:00:00;982
2021-11-28 00:00:00;665
2021-11-29 00:00:00;932
2021-11-30 00:00:00;1633
2021-12-01 00:00:00;1238
2021-12-02 00:00:00;1250
2021-12-03 00:00:00;1155
2021-12-04 00:00:00;875
2021-12-05 00:00:00;630
2021-12-06 00:00:00;967
2021-12-07 00:00:00;1312
2021-12-08 00:00:00;1128
2021-12-09 00:00:00;1662
2021-12-10 00:00:00;1697
2021-12-11 00:00:00;1260
2021-12-12 00:00:00;673
2021-12-13 00:00:00;1235
2021-12-14 00:00:00;1358
2021-12-15 00:00:00;1458
2021-12-16 00:00:00;1496
2021-12-17 00:00:00;1315
2021-12-18 00:00:00;1005
2021-12-19 00:00:00;780
2021-12-20 00:00:00;1700
2021-12-21 00:00:00;1853
2021-12-22 00:00:00;1692
2021-12-23 00:00:00;1623
2021-12-24 00:00:00;1336
2021-12-25 00:00:00;1884
2021-12-26 00:00:00;755
2021-12-27 00:00:00;1473
2021-12-28 00:00:00;1633
2021-12-29 00:00:00;1605
2021-12-30 00:00:00;1175
2021-12-31 00:00:00;266
2022-01-01 00:00:00;151
2022-01-02 00:00:00;213
2022-01-03 00:00:00;302
2022-01-04 00:00:00;364
2022-01-05 00:00:00;838
2022-01-06 00:00:00;424
2022-01-07 00:00:00;359
2022-01-08 00:00:00;487
2022-01-09 00:00:00;390
2022-01-10 00:00:00;1046
2022-01-11 00:00:00;764
2022-01-12 00:00:00;1111
2022-01-13 00:00:00;1367
2022-01-14 00:00:00;1103
2022-01-15 00:00:00;755
2022-01-16 00:00:00;379
2022-01-17 00:00:00;1238
2022-01-18 00:00:00;1252
2022-01-19 00:00:00;910
2022-01-20 00:00:00;713
2022-01-21 00:00:00;1559
2022-01-22 00:00:00;792
2022-01-23 00:00:00;438
2022-01-24 00:00:00;588
2022-01-25 00:00:00;810
2022-01-26 00:00:00;914
2022-01-27 00:00:00;791
2022-01-28 00:00:00;1238
2022-01-29 00:00:00;655
2022-01-30 00:00:00;353
2022-01-31 00:00:00;679
2022-02-01 00:00:00;709
2022-02-02 00:00:00;755
2022-02-03 00:00:00;815
2022-02-04 00:00:00;999
2022-02-05 00:00:00;658
2022-02-06 00:00:00;971
2022-02-07 00:00:00;863
2022-02-08 00:00:00;977
2022-02-09 00:00:00;885
2022-02-10 00:00:00;967
2022-02-11 00:00:00;943
2022-02-12 00:00:00;726
2022-02-13 00:00:00;463
2022-02-14 00:00:00;1003
2022-02-15 00:00:00;1157
2022-02-16 00:00:00;1046
2022-02-17 00:00:00;1299
2022-02-18 00:00:00;1210
2022-02-19 00:00:00;850
2022-02-20 00:00:00;528
2022-02-21 00:00:00;904
2022-02-22 00:00:00;1265
2022-02-23 00:00:00;418
2022-02-24 00:00:00;619
2022-02-25 00:00:00;923
2022-02-26 00:00:00;542
2022-02-27 00:00:00;381
2022-02-28 00:00:00;933
2022-03-01 00:00:00;979
2022-03-02 00:00:00;1016
2022-03-03 00:00:00;1137
2022-03-04 00:00:00;909
2022-03-05 00:00:00;1147
2022-03-06 00:00:00;480
2022-03-07 00:00:00;390
2022-03-08 00:00:00;459
2022-03-09 00:00:00;840
2022-03-10 00:00:00;979
2022-03-11 00:00:00;1007
2022-03-12 00:00:00;609
2022-03-13 00:00:00;381
2022-03-14 00:00:00;745
